=== random ===
test_name cover_breslauer.e cover_maxgap.e cover_maxgap_static_mem.e cover_nlogn.e cover_recursive.e
rand_34000000_4.in 0.2824106216430664 0.979572057723999 None 0.44927406311035156 0.29233384132385254
rand_7000000_2.in 0.06926250457763672 0.22468304634094238 0.26656365394592285 0.10332942008972168 0.06200432777404785
rand_18000000_10.in 0.11126041412353516 0.4485328197479248 0.43730711936950684 0.17123627662658691 0.11385893821716309
rand_3000000_10.in 0.020034313201904297 0.08151745796203613 0.1597123146057129 0.030585765838623047 0.021019697189331055
rand_9000000_52.in 0.0517730712890625 0.22014474868774414 0.28097033500671387 0.07609915733337402 0.05194425582885742
rand_35000000_26.in 0.19713854789733887 0.860278844833374 None 0.3099679946899414 0.20147037506103516
rand_26000000_4.in 0.2133316993713379 0.7509114742279053 0.6493630409240723 0.34888601303100586 0.21937918663024902
rand_14000000_3.in 0.12948203086853027 0.4012134075164795 0.4001777172088623 0.1966876983642578 0.12720823287963867
rand_16000000_2.in 0.15514516830444336 0.4931831359863281 0.4625062942504883 0.23793840408325195 0.13960742950439453
rand_22000000_3.in 0.20296716690063477 0.6572606563568115 0.5901994705200195 0.330111026763916 0.20015215873718262
rand_24000000_4.in 0.1980452537536621 0.6806530952453613 0.6203708648681641 0.31905221939086914 0.1996610164642334
rand_18000000_26.in 0.10322237014770508 0.44161486625671387 0.42911505699157715 0.15578293800354004 0.10428452491760254
rand_1000000_3.in 0.010555505752563477 0.03485608100891113 0.1260392665863037 0.016719818115234375 0.01071786880493164
rand_19000000_4.in 0.15239572525024414 0.5184473991394043 0.489046573638916 0.24230360984802246 0.1514606475830078
rand_10000000_62.in 0.05730271339416504 0.2431015968322754 0.27878499031066895 0.08398151397705078 0.05826115608215332
rand_4000000_10.in 0.026498794555664062 0.10339570045471191 0.17743372917175293 0.040171146392822266 0.027133703231811523
rand_35000000_62.in 0.189863920211792 0.856346607208252 None 0.29152512550354004 0.19515490531921387
rand_30000000_2.in 0.29535579681396484 0.9276895523071289 0.793018102645874 0.4593391418457031 0.26181507110595703
rand_30000000_62.in 0.1629643440246582 0.7033896446228027 0.6127886772155762 0.24981117248535156 0.17143940925598145
rand_7000000_10.in 0.045311927795410156 0.192901611328125 0.23311471939086914 0.07018065452575684 0.04556679725646973
rand_29000000_10.in 0.18273448944091797 0.7186880111694336 0.6532690525054932 0.2867553234100342 0.1826467514038086
rand_16000000_62.in 0.08797478675842285 0.37393927574157715 0.3813040256500244 0.1315746307373047 0.08962225914001465
rand_30000000_52.in 0.16543364524841309 0.6904284954071045 0.6186807155609131 0.2625851631164551 0.17536020278930664
rand_14000000_2.in 0.13709115982055664 0.4620239734649658 0.43653154373168945 0.20688962936401367 0.12245678901672363
rand_19000000_62.in 0.10460853576660156 0.4954802989959717 0.4484877586364746 0.1590886116027832 0.10648989677429199
rand_15000000_10.in 0.09450888633728027 0.3758103847503662 0.3813605308532715 0.144561767578125 0.09804081916809082
rand_3000000_26.in 0.018402099609375 0.07409095764160156 0.15526127815246582 0.027418136596679688 0.019265413284301758
rand_4000000_2.in 0.03996777534484863 0.12714648246765137 0.19340920448303223 0.06024885177612305 0.03631305694580078
rand_22000000_62.in 0.11989498138427734 0.5234832763671875 0.4833040237426758 0.1815800666809082 0.12250304222106934
rand_31000000_52.in 0.16932320594787598 0.7062969207763672 None 0.25774312019348145 0.17505335807800293
rand_1000000_4.in 0.009073972702026367 0.03287792205810547 0.12176871299743652 0.014339923858642578 0.009241819381713867
rand_10000000_3.in 0.09189534187316895 0.29497289657592773 0.3167080879211426 0.14035415649414062 0.08789920806884766
rand_4000000_62.in 0.023246049880981445 0.09200382232666016 0.1723005771636963 0.036312103271484375 0.023743391036987305
rand_39000000_3.in 0.3690638542175293 1.2016382217407227 None 0.6410579681396484 0.3607959747314453
rand_27000000_26.in 0.15193772315979004 0.714719295501709 0.5868029594421387 0.23578429222106934 0.15622520446777344
rand_28000000_2.in 0.2817521095275879 0.9362156391143799 0.8042318820953369 0.4234893321990967 0.24776649475097656
rand_13000000_2.in 0.13054752349853516 0.40910959243774414 0.4242274761199951 0.20058512687683105 0.11577892303466797
rand_23000000_62.in 0.12789440155029297 0.5423986911773682 0.5020537376403809 0.1914820671081543 0.12771081924438477
rand_39000000_26.in 0.21801352500915527 0.9389679431915283 None 0.3298685550689697 0.22730779647827148
rand_35000000_3.in 0.31435346603393555 1.0742058753967285 None 0.4987645149230957 0.30043840408325195
rand_10000000_10.in 0.06403350830078125 0.26044178009033203 0.3029303550720215 0.09839916229248047 0.06522417068481445
rand_27000000_62.in 0.14732599258422852 0.6898889541625977 0.5677165985107422 0.2280881404876709 0.15181374549865723
rand_21000000_10.in 0.13209748268127441 0.5222394466400146 0.5027251243591309 0.20384502410888672 0.13265681266784668
rand_1000000_10.in 0.0074710845947265625 0.029076099395751953 0.12131643295288086 0.010884523391723633 0.007393836975097656
rand_18000000_2.in 0.17227959632873535 0.6044449806213379 0.5377006530761719 0.26792407035827637 0.17018389701843262
rand_23000000_3.in 0.21635055541992188 0.7141697406768799 0.6243896484375 0.34909844398498535 0.22902464866638184
rand_9000000_10.in 0.05876469612121582 0.2292935848236084 0.2696671485900879 0.08792638778686523 0.05874443054199219
rand_3000000_62.in 0.017769336700439453 0.07279634475708008 0.15492534637451172 0.026401996612548828 0.018508195877075195
rand_32000000_4.in 0.25938844680786133 0.8935449123382568 None 0.4202895164489746 0.26514744758605957
rand_10000000_2.in 0.11433291435241699 0.31804728507995605 0.33707165718078613 0.15082836151123047 0.08833503723144531
rand_12000000_52.in 0.06652641296386719 0.29123353958129883 0.3136310577392578 0.1018211841583252 0.06926298141479492
rand_13000000_10.in 0.08135056495666504 0.32692718505859375 0.3459501266479492 0.1251986026763916 0.08405041694641113
rand_37000000_4.in 0.29883694648742676 1.049189805984497 None 0.4792187213897705 0.3077666759490967
rand_15000000_3.in 0.1389143466949463 0.4493064880371094 0.4349029064178467 0.224503755569458 0.1355900764465332
rand_20000000_52.in 0.1099855899810791 0.4786527156829834 0.45754146575927734 0.16734910011291504 0.11536002159118652
rand_15000000_52.in 0.08635139465332031 0.35688066482543945 0.37149715423583984 0.12457656860351562 0.08486652374267578
