=== letters ===
test_name cover_breslauer.e cover_maxgap.e cover_maxgap_static_mem.e cover_nlogn.e cover_recursive.e
letters_20000000_57_big_period.in 0.2841300964355469 0.95969557762146 0.7970199584960938 0.19356155395507812 0.18896913528442383
letters_20000000_26_small_period2.in 0.4130711555480957 0.9777657985687256 0.804645299911499 0.1906125545501709 0.1804370880126953
letters_20000000_26_big_period.in 0.43887972831726074 0.942244291305542 0.8012068271636963 0.1908559799194336 0.19421958923339844
letters_20000000_5_small_period.in 0.42003512382507324 0.9638659954071045 0.7885856628417969 0.18921875953674316 0.1810441017150879
letters_20000000_43_random2.in 0.4540085792541504 0.9025435447692871 0.7703452110290527 0.2612645626068115 0.18953895568847656
letters_20000000_51_small_period.in 0.4243762493133545 0.9727835655212402 0.7902534008026123 0.18820953369140625 0.18630719184875488
letters_20000000_8_small_period.in 0.42101168632507324 0.9846897125244141 0.8162405490875244 0.188462495803833 0.17943406105041504
letters_20000000_55_random.in 0.4209177494049072 0.8970720767974854 0.7652852535247803 0.2586991786956787 0.18709731101989746
letters_20000000_11_small_period.in 0.41895389556884766 0.9399564266204834 0.7614209651947021 0.18817901611328125 0.17990541458129883
letters_20000000_11_big_period2.in 0.43923234939575195 0.9585874080657959 0.7969906330108643 0.19074249267578125 0.19036293029785156
letters_20000000_14_big_period.in 0.4313626289367676 0.9488558769226074 0.8073813915252686 0.19044232368469238 0.1878674030303955
letters_20000000_61_random2.in 0.3413712978363037 0.8963961601257324 0.7751476764678955 0.2572474479675293 0.18648147583007812
letters_20000000_4_big_period2.in 0.4559133052825928 0.9394938945770264 0.7645978927612305 0.20050859451293945 0.19596576690673828
letters_20000000_49_small_period.in 0.44243955612182617 0.9720067977905273 0.7882351875305176 0.1868288516998291 0.17919182777404785
letters_20000000_23_random2.in 0.46344685554504395 0.9088635444641113 0.7864644527435303 0.26695895195007324 0.19281363487243652
letters_20000000_51_big_period.in 0.43077898025512695 0.9610824584960938 0.7704164981842041 0.1867835521697998 0.18460583686828613
letters_20000000_12_random.in 0.473736047744751 0.9431653022766113 0.8089499473571777 0.285552978515625 0.2024829387664795
letters_20000000_2_small_period2.in 0.4222121238708496 1.00571608543396 0.8476243019104004 0.18526744842529297 0.18124914169311523
letters_20000000_1_random2.in 0.41812968254089355 1.580798864364624 1.5099902153015137 0.2586827278137207 0.21758341789245605
letters_20000000_31_big_period2.in 0.426654577255249 0.9529261589050293 0.7868607044219971 0.18937039375305176 0.18821477890014648
letters_20000000_21_big_period.in 0.4381086826324463 0.9532628059387207 0.8154122829437256 0.19073486328125 0.18921661376953125
letters_20000000_35_random2.in 0.4163815975189209 0.9308857917785645 0.7861003875732422 0.2683534622192383 0.1896529197692871
letters_20000000_48_big_period2.in 0.4345717430114746 0.9449431896209717 0.795102596282959 0.18993830680847168 0.19154858589172363
letters_20000000_14_random2.in 0.426410436630249 0.9296162128448486 0.806663990020752 0.28187108039855957 0.20157217979431152
letters_20000000_30_random2.in 0.4153006076812744 0.9197378158569336 0.7919158935546875 0.26676273345947266 0.191483736038208
letters_20000000_49_big_period.in 0.4098525047302246 0.9437899589538574 0.7797038555145264 0.18809795379638672 0.18566203117370605
letters_20000000_52_small_period2.in 0.42501211166381836 0.9752485752105713 0.8414170742034912 0.18809938430786133 0.17801260948181152
letters_20000000_50_small_period.in 0.41100573539733887 0.9761929512023926 0.7810559272766113 0.18882393836975098 0.17960190773010254
letters_20000000_6_big_period.in 0.4288349151611328 0.930739164352417 0.7572264671325684 0.19443678855895996 0.19960308074951172
letters_20000000_25_big_period.in 0.4195370674133301 0.9427661895751953 0.7943072319030762 0.18704676628112793 0.19327902793884277
letters_20000000_60_random.in 0.4299318790435791 0.9000425338745117 0.7591249942779541 0.25681042671203613 0.18493175506591797
letters_20000000_59_small_period2.in 0.4631319046020508 0.9775378704071045 0.7880496978759766 0.18899273872375488 0.17989754676818848
letters_20000000_31_random2.in 0.4259035587310791 0.916825532913208 0.7623291015625 0.26282644271850586 0.19005298614501953
letters_20000000_5_big_period2.in 0.4090251922607422 0.9353475570678711 0.7560617923736572 0.19635581970214844 0.19343209266662598
letters_20000000_18_random.in 0.41960954666137695 0.9282705783843994 0.7994287014007568 0.2731969356536865 0.19420933723449707
letters_20000000_1_big_period2.in 0.4305684566497803 1.5677073001861572 1.5416011810302734 0.2542557716369629 0.21134066581726074
letters_20000000_21_big_period2.in 0.41345810890197754 0.9463667869567871 0.7890615463256836 0.19138336181640625 0.18793511390686035
letters_20000000_9_small_period2.in 0.4172844886779785 0.9732375144958496 0.7986664772033691 0.1869966983795166 0.1786644458770752
letters_20000000_2_small_period.in 0.44400596618652344 1.012732744216919 0.8428516387939453 0.19075369834899902 0.17837071418762207
letters_20000000_53_random.in 0.4039020538330078 0.8974974155426025 0.7487082481384277 0.2558441162109375 0.18633460998535156
letters_20000000_46_random.in 0.42536377906799316 0.8929173946380615 0.7650852203369141 0.25766634941101074 0.1894550323486328
letters_20000000_34_big_period2.in 0.4346194267272949 0.9388811588287354 0.7844619750976562 0.19396305084228516 0.18381285667419434
letters_20000000_29_small_period.in 0.4304211139678955 0.9674563407897949 0.7753403186798096 0.1938943862915039 0.17491984367370605
letters_20000000_62_big_period.in 0.4693257808685303 0.9383120536804199 0.7656402587890625 0.18462371826171875 0.18330168724060059
