=== small_periods ===
test_name cover_breslauer.e cover_maxgap.e cover_maxgap_static_mem.e cover_nlogn.e cover_recursive.e
smallperiod_20000000_26_801.in 0.38992953300476074 0.9274928569793701 0.7798266410827637 0.17758917808532715 0.17514944076538086
smallperiod_20000000_10_306.in 0.5212714672088623 0.9309234619140625 0.8069860935211182 0.17930865287780762 0.17426824569702148
smallperiod_20000000_7_1.in 0.4113278388977051 1.5239543914794922 1.4341740608215332 0.2462935447692871 0.2066185474395752
smallperiod_20000000_10_756.in 0.40183401107788086 0.921396017074585 0.7587215900421143 0.17423152923583984 0.17011117935180664
smallperiod_20000000_62_301.in 0.3946664333343506 0.9243712425231934 0.7310426235198975 0.1752171516418457 0.16947102546691895
smallperiod_20000000_2_176.in 0.3974294662475586 0.954378604888916 0.7955858707427979 0.18313860893249512 0.16983842849731445
smallperiod_20000000_7_941.in 0.4018988609313965 0.9260449409484863 0.7884376049041748 0.1730191707611084 0.16898226737976074
smallperiod_20000000_10_821.in 0.41142725944519043 0.9223666191101074 0.7437889575958252 0.17371869087219238 0.1688392162322998
smallperiod_20000000_62_241.in 0.4070897102355957 0.9253129959106445 0.7367832660675049 0.17614984512329102 0.1695692539215088
smallperiod_20000000_26_656.in 0.4144163131713867 0.9498002529144287 0.7421777248382568 0.17463016510009766 0.16908478736877441
smallperiod_20000000_10_251.in 0.40883350372314453 0.9307112693786621 0.79396653175354 0.18215012550354004 0.17137765884399414
smallperiod_20000000_62_246.in 0.4067203998565674 0.9707856178283691 0.789048433303833 0.17780661582946777 0.17127609252929688
smallperiod_20000000_2_41.in 0.4043142795562744 1.0306646823883057 0.829803466796875 0.19433236122131348 0.1874701976776123
smallperiod_20000000_62_376.in 0.42133164405822754 0.9759948253631592 0.8016281127929688 0.17524099349975586 0.16852974891662598
smallperiod_20000000_26_906.in 0.41237354278564453 0.9396824836730957 0.8078808784484863 0.17213678359985352 0.16855907440185547
smallperiod_20000000_4_541.in 0.4089832305908203 0.9195754528045654 0.7335398197174072 0.17515969276428223 0.16948437690734863
smallperiod_20000000_2_111.in 0.4005308151245117 0.9698355197906494 0.8002536296844482 0.18126153945922852 0.16989350318908691
smallperiod_20000000_10_316.in 0.4026672840118408 0.9278805255889893 0.8012099266052246 0.17453718185424805 0.16884946823120117
smallperiod_20000000_62_361.in 0.408205509185791 0.9219834804534912 0.7772817611694336 0.17754197120666504 0.1690535545349121
smallperiod_20000000_10_346.in 0.40212559700012207 0.9262053966522217 0.7682991027832031 0.17850947380065918 0.16850996017456055
smallperiod_20000000_26_491.in 0.4053025245666504 0.9280872344970703 0.7674205303192139 0.17320632934570312 0.16803836822509766
smallperiod_20000000_26_16.in 0.3996286392211914 0.9503850936889648 0.7820308208465576 0.1825723648071289 0.17037463188171387
smallperiod_20000000_62_956.in 0.3995993137359619 0.9142401218414307 0.7192308902740479 0.17147111892700195 0.16728425025939941
smallperiod_20000000_62_181.in 0.4057910442352295 0.9302959442138672 0.7375309467315674 0.17593121528625488 0.16871118545532227
smallperiod_20000000_26_121.in 0.3993990421295166 0.9399092197418213 0.7922799587249756 0.17866230010986328 0.16926288604736328
smallperiod_20000000_62_846.in 0.4887537956237793 0.9160194396972656 0.7192049026489258 0.17191314697265625 0.1678447723388672
smallperiod_20000000_62_356.in 0.3935708999633789 0.9181344509124756 0.7713346481323242 0.1756913661956787 0.1676163673400879
smallperiod_20000000_62_156.in 0.4104335308074951 0.9365568161010742 0.7520897388458252 0.17780232429504395 0.1687171459197998
smallperiod_20000000_26_381.in 0.4163179397583008 0.9471898078918457 0.814434289932251 0.1753394603729248 0.16740942001342773
smallperiod_20000000_2_211.in 0.42438459396362305 0.9788837432861328 0.8649137020111084 0.18286776542663574 0.16979598999023438
smallperiod_20000000_62_926.in 0.40300631523132324 0.9291484355926514 0.7392945289611816 0.1745765209197998 0.1672377586364746
smallperiod_20000000_7_21.in 0.37556886672973633 0.9694201946258545 0.8844869136810303 0.19037365913391113 0.16884088516235352
smallperiod_20000000_7_466.in 0.4003870487213135 0.9353058338165283 0.7660660743713379 0.17334342002868652 0.16802358627319336
smallperiod_20000000_26_786.in 0.19730305671691895 0.9151606559753418 0.7773847579956055 0.1720590591430664 0.16809344291687012
smallperiod_20000000_2_931.in 0.463547945022583 0.9380030632019043 0.787186861038208 0.17134809494018555 0.17028141021728516
smallperiod_20000000_10_266.in 0.41185712814331055 0.9303743839263916 0.808621883392334 0.1790447235107422 0.16823816299438477
smallperiod_20000000_2_811.in 0.4017822742462158 0.9319567680358887 0.7745785713195801 0.172743558883667 0.167891263961792
smallperiod_20000000_7_446.in 0.41284608840942383 0.9213898181915283 0.749753475189209 0.17280030250549316 0.167586088180542
smallperiod_20000000_2_611.in 0.42113614082336426 0.9454870223999023 0.79459547996521 0.17468690872192383 0.17647075653076172
smallperiod_20000000_2_516.in 0.405231237411499 0.9625513553619385 0.8141036033630371 0.1736915111541748 0.1675410270690918
smallperiod_20000000_4_136.in 0.3988497257232666 0.9159512519836426 0.7489728927612305 0.19675898551940918 0.1779944896697998
smallperiod_20000000_26_631.in 0.40815162658691406 0.9509563446044922 0.7749078273773193 0.17212867736816406 0.1678752899169922
smallperiod_20000000_2_926.in 0.4068727493286133 0.9894874095916748 0.8527581691741943 0.17768263816833496 0.1742253303527832
smallperiod_20000000_4_296.in 0.511237621307373 0.9570965766906738 0.7596032619476318 0.17888808250427246 0.17403388023376465
smallperiod_20000000_2_341.in 0.42687010765075684 0.9329910278320312 0.7884042263031006 0.1745443344116211 0.17432665824890137
smallperiod_20000000_26_916.in 0.41683053970336914 0.9380307197570801 0.8324823379516602 0.17768597602844238 0.1762230396270752
smallperiod_20000000_10_571.in 0.4264028072357178 0.9365432262420654 0.7884140014648438 0.1869511604309082 0.17491459846496582
