=== big_periods ===
test_name seed_costas.e seed_kociumaka.e seed_kociumaka_nlogn.e
bigperiod_500000_10_55000.in 1.2030792236328125 3.6315665245056152 1.1883599758148193
bigperiod_500000_7_445000.in 1.932908058166504 1.9242713451385498 1.2228636741638184
bigperiod_500000_62_213333.in 1.3219387531280518 3.870220899581909 1.307919979095459
bigperiod_500000_10_145000.in 1.4692809581756592 3.8484647274017334 1.2549879550933838
bigperiod_500000_4_33333.in 1.431006908416748 3.476937770843506 1.1168506145477295
bigperiod_500000_62_3333.in 0.7271902561187744 3.001546621322632 1.0131587982177734
bigperiod_500000_2_286666.in 2.578458547592163 4.152937650680542 1.2284834384918213
bigperiod_500000_4_320000.in 2.093843936920166 3.612203598022461 1.220026969909668
bigperiod_500000_4_35000.in 1.4276950359344482 3.5029234886169434 1.1219706535339355
bigperiod_500000_4_265000.in 2.1161656379699707 3.80672550201416 1.2343618869781494
bigperiod_500000_10_143333.in 1.4519014358520508 3.861950397491455 1.2519941329956055
bigperiod_500000_7_300000.in 1.8770761489868164 3.766115665435791 1.2270939350128174
bigperiod_500000_10_253333.in 1.7708308696746826 3.8564612865448 1.233222484588623
bigperiod_500000_7_26666.in 1.2231690883636475 3.3643507957458496 1.1312572956085205
bigperiod_500000_10_225000.in 1.6732206344604492 3.748779296875 1.2683484554290771
bigperiod_500000_10_310000.in 1.7811379432678223 3.5966625213623047 1.2328741550445557
bigperiod_500000_26_465000.in 1.6067910194396973 1.7927632331848145 1.2683863639831543
bigperiod_500000_4_70000.in 1.5957605838775635 3.4892120361328125 1.2391631603240967
bigperiod_500000_26_296666.in 1.5434513092041016 3.5267159938812256 1.2473816871643066
bigperiod_500000_2_60000.in 1.9349544048309326 3.652693271636963 1.1529288291931152
bigperiod_500000_2_345000.in 2.649596929550171 2.2861008644104004 1.207460880279541
bigperiod_500000_62_250000.in 1.4245009422302246 3.427518129348755 1.305973768234253
bigperiod_500000_2_276666.in 2.587035894393921 4.1321916580200195 1.2166597843170166
bigperiod_500000_26_495000.in 1.604707956314087 1.7429561614990234 1.2301757335662842
bigperiod_500000_26_193333.in 1.3937621116638184 3.1529171466827393 1.2924938201904297
bigperiod_500000_26_210000.in 1.4266657829284668 3.81876802444458 1.2674810886383057
bigperiod_500000_62_375000.in 1.4197349548339844 1.786158800125122 1.2655658721923828
bigperiod_500000_62_165000.in 1.1739466190338135 3.6239964962005615 1.2688848972320557
bigperiod_500000_10_296666.in 1.7028851509094238 3.6625242233276367 1.2215938568115234
bigperiod_500000_26_73333.in 1.1269161701202393 3.4373185634613037 1.2647569179534912
bigperiod_500000_62_26666.in 0.9028215408325195 3.3635926246643066 1.1661837100982666
bigperiod_500000_26_125000.in 1.233384132385254 3.8140971660614014 1.2373895645141602
bigperiod_500000_4_20000.in 1.3508167266845703 3.317082166671753 1.087043285369873
bigperiod_500000_4_333333.in 2.0478386878967285 2.1642560958862305 1.2218589782714844
bigperiod_500000_4_255000.in 2.081775188446045 3.9521303176879883 1.2295198440551758
bigperiod_500000_4_225000.in 1.9998276233673096 3.786613941192627 1.232240915298462
bigperiod_500000_62_450000.in 1.4812378883361816 1.6990180015563965 1.2769217491149902
bigperiod_500000_10_285000.in 1.7607717514038086 3.7536416053771973 1.2304975986480713
bigperiod_500000_62_465000.in 1.4714751243591309 1.7479884624481201 1.2497174739837646
bigperiod_500000_10_200000.in 1.6205766201019287 3.234748125076294 1.233738660812378
bigperiod_500000_62_13333.in 0.8350574970245361 3.221365213394165 1.103102445602417
bigperiod_500000_7_266666.in 1.8647181987762451 3.800551652908325 1.2133960723876953
bigperiod_500000_4_93333.in 1.6384854316711426 3.7449872493743896 1.2069432735443115
bigperiod_500000_2_400000.in 2.640401601791382 2.2657012939453125 1.1988804340362549
bigperiod_500000_10_90000.in 1.3247601985931396 3.6993541717529297 1.250657558441162
bigperiod_500000_4_100000.in 1.572371482849121 3.694603204727173 1.2334237098693848
bigperiod_500000_2_95000.in 2.053598165512085 3.840146780014038 1.1671216487884521
bigperiod_500000_62_106666.in 1.0816035270690918 3.583483934402466 1.2678508758544922
bigperiod_500000_62_76666.in 1.0088698863983154 3.390807867050171 1.3067092895507812
bigperiod_500000_26_420000.in 1.5855255126953125 1.7678399085998535 1.2268738746643066
bigperiod_500000_26_46666.in 1.0606796741485596 3.483286142349243 1.2373015880584717
bigperiod_500000_62_16666.in 0.8645343780517578 3.2902116775512695 1.1851871013641357
bigperiod_500000_2_143333.in 2.1306238174438477 4.0409300327301025 1.1911118030548096
bigperiod_500000_26_13333.in 0.9090919494628906 3.1764090061187744 1.1494946479797363
bigperiod_500000_7_465000.in 1.924180507659912 1.9225256443023682 1.2521662712097168
bigperiod_500000_2_195000.in 2.4144046306610107 3.356550931930542 1.204446792602539
bigperiod_500000_10_290000.in 1.7831499576568604 3.650430679321289 1.2210981845855713
bigperiod_500000_26_325000.in 1.5519115924835205 3.237792730331421 1.2347769737243652
bigperiod_500000_2_355000.in 2.623783588409424 2.2803947925567627 1.1966476440429688
bigperiod_500000_10_293333.in 1.790457010269165 3.7573511600494385 1.241804838180542
bigperiod_500000_62_235000.in 1.4026148319244385 3.490849018096924 1.2941405773162842
bigperiod_500000_4_295000.in 2.080664873123169 3.849752902984619 1.2565338611602783
bigperiod_500000_26_485000.in 1.627915859222412 1.755516529083252 1.232875108718872
bigperiod_500000_26_110000.in 1.1906049251556396 3.580899238586426 1.2678065299987793
bigperiod_500000_7_400000.in 1.89642333984375 1.9188919067382812 1.2099010944366455
bigperiod_500000_62_360000.in 1.4530613422393799 1.801567792892456 1.26747727394104
bigperiod_500000_7_250000.in 1.8719749450683594 3.553518056869507 1.2386741638183594
bigperiod_500000_10_266666.in 1.7773258686065674 3.6870107650756836 1.2574503421783447
bigperiod_500000_7_133333.in 1.5456080436706543 3.7921152114868164 1.258126974105835
bigperiod_500000_26_286666.in 1.5555322170257568 3.6303863525390625 1.2577462196350098
bigperiod_500000_26_385000.in 1.5621156692504883 1.787613868713379 1.225891351699829
bigperiod_500000_4_106666.in 1.6846420764923096 3.707395553588867 1.247751235961914
bigperiod_500000_62_245000.in 1.4202725887298584 3.458076000213623 1.3429453372955322
bigperiod_500000_10_360000.in 1.7661802768707275 1.9369816780090332 1.203843593597412
bigperiod_500000_26_275000.in 1.515909194946289 3.7308247089385986 1.2571439743041992
